gs,opp_id,fg_pct,fg3,game_result,team_id,pts,game_location,tov,fta,game_score,pf,blk,ft_pct,fg3a,ft,ranker,ast,game_season,fg3_pct,fg,orb,fga,stl,age,trb,date_game,mp,drb,player_name
1,CLE,.500,0,W (+8),HOU,10,,3,0,9.7,5,3,,0,0,1,2,1,,5,2,10,3,34-283,8,1997-10-31,35:00,6,Hakeem Olajuwon
1,SAC,.500,0,W (+16),HOU,18,@,3,7,21.6,3,8,.857,0,6,2,1,2,,6,2,12,5,34-285,7,1997-11-02,34:00,5,Hakeem Olajuwon
1,SEA,.571,0,L (-24),HOU,8,@,3,0,8.5,4,1,,0,0,3,3,3,,4,1,7,4,34-287,4,1997-11-04,32:00,3,Hakeem Olajuwon
1,LAC,.571,0,W (+14),HOU,10,@,2,2,12.9,3,2,1.000,0,2,4,3,4,,4,2,7,3,34-288,7,1997-11-05,30:00,5,Hakeem Olajuwon
1,POR,.667,0,L (-1),HOU,27,,0,9,26.0,3,1,.778,0,7,5,0,5,,10,1,15,4,34-290,8,1997-11-07,40:00,7,Hakeem Olajuwon
1,PHI,.316,0,L (-14),HOU,14,,1,2,11.6,5,3,1.000,0,2,6,3,6,,6,7,19,0,34-295,15,1997-11-12,42:00,8,Hakeem Olajuwon
1,LAL,.182,0,L (-10),HOU,4,,1,0,0.8,5,2,,0,0,7,3,7,,2,2,11,0,34-297,8,1997-11-14,32:00,6,Hakeem Olajuwon
1,PHO,.471,0,L (-2),HOU,22,@,2,8,20.8,3,5,.750,0,6,8,2,8,,8,0,17,3,34-299,12,1997-11-16,40:00,12,Hakeem Olajuwon
1,NYK,.714,0,W (+11),HOU,24,,5,4,18.2,4,3,1.000,0,4,9,3,9,,10,0,14,0,34-301,8,1997-11-18,40:00,8,Hakeem Olajuwon
1,TOR,.667,0,W (+30),HOU,17,,3,9,17.1,2,1,.556,0,5,10,4,10,,6,4,9,1,34-303,11,1997-11-20,30:00,7,Hakeem Olajuwon
1,GSW,.286,0,W (+6),HOU,9,,5,1,2.5,4,2,1.000,0,1,11,0,11,,4,5,14,1,34-305,13,1997-11-22,39:00,8,Hakeem Olajuwon
0,VAN,.714,0,W (+13),HOU,10,,1,0,11.6,3,1,,0,0,12,2,12,,5,2,7,2,35-013,6,1998-02-03,19:00,4,Hakeem Olajuwon
0,DET,.533,0,L (-12),HOU,19,@,2,4,12.1,3,1,.750,1,3,13,2,13,.000,8,1,15,0,35-015,5,1998-02-05,26:00,4,Hakeem Olajuwon
1,SEA,.600,0,W (+14),HOU,12,,1,0,14.3,5,2,,0,0,14,3,14,,6,6,10,1,35-020,10,1998-02-10,26:00,4,Hakeem Olajuwon
1,VAN,.556,0,W (+9),HOU,22,@,4,3,18.9,3,1,.667,0,2,15,5,15,,10,3,18,3,35-022,9,1998-02-12,36:00,6,Hakeem Olajuwon
1,POR,.250,0,L (-24),HOU,5,@,4,1,0.4,2,1,1.000,0,1,16,3,16,,2,1,8,0,35-023,6,1998-02-13,30:00,5,Hakeem Olajuwon
1,LAL,.357,0,W (+2),HOU,13,@,1,3,12.3,4,4,1.000,0,3,17,4,17,,5,2,14,0,35-025,11,1998-02-15,38:00,9,Hakeem Olajuwon
1,LAC,.818,0,W (+22),HOU,21,@,2,5,26.6,2,0,.600,0,3,18,5,18,,9,7,11,1,35-026,20,1998-02-16,36:00,13,Hakeem Olajuwon
