gs,opp_id,fg_pct,fg3,game_result,team_id,pts,game_location,tov,fta,game_score,pf,blk,ft_pct,fg3a,ft,ranker,ast,game_season,fg3_pct,fg,orb,fga,plus_minus,stl,age,trb,date_game,mp,drb,player_name
1,ORL,.667,0,L (-29),TOR,11,@,0,6,9.7,3,1,.500,0,3,1,0,1,,4,2,6,-20,1,38-282,4,2001-10-30,23:00,2,Hakeem Olajuwon
1,MIA,.400,0,L (-5),TOR,8,@,1,3,5.2,5,2,.000,0,0,2,0,2,,4,5,10,+3,1,38-283,8,2001-10-31,32:00,3,Hakeem Olajuwon
1,DAL,.500,0,W (+17),TOR,11,,2,2,9.6,2,0,.500,0,1,3,2,3,,5,0,10,+11,3,38-285,8,2001-11-02,27:00,8,Hakeem Olajuwon
1,IND,.286,0,W (+13),TOR,6,,2,4,2.2,3,1,.500,0,2,4,0,4,,2,3,7,+3,0,38-287,8,2001-11-04,14:00,5,Hakeem Olajuwon
1,GSW,.250,0,W (+17),TOR,4,,2,0,8.4,3,7,,0,0,5,3,5,,2,1,8,+19,2,38-290,10,2001-11-07,30:00,9,Hakeem Olajuwon
1,UTA,.444,0,W (+21),TOR,12,@,4,8,15.2,1,3,.500,0,4,6,5,6,,4,2,9,+29,6,38-293,5,2001-11-10,35:00,3,Hakeem Olajuwon
1,DEN,.667,0,L (-11),TOR,8,@,1,0,6.9,3,3,,0,0,7,0,7,,4,1,6,-2,0,38-294,4,2001-11-11,15:00,3,Hakeem Olajuwon
1,SAC,.500,0,L (-9),TOR,11,@,3,2,9.3,2,0,.500,0,1,8,2,8,,5,0,10,-9,4,38-296,7,2001-11-13,39:00,7,Hakeem Olajuwon
1,GSW,.429,0,W (+7),TOR,7,@,1,1,4.7,2,0,1.000,1,1,9,0,9,.000,3,1,7,-3,1,38-297,6,2001-11-14,23:00,5,Hakeem Olajuwon
1,LAC,.429,0,W (+9),TOR,6,@,1,0,8.2,4,2,,0,0,10,1,10,,3,2,7,-2,2,38-299,12,2001-11-16,27:00,10,Hakeem Olajuwon
1,PHO,.500,0,W (+6),TOR,10,@,2,2,8.3,2,0,.000,0,0,11,1,11,,5,4,10,+8,1,38-301,12,2001-11-18,28:00,8,Hakeem Olajuwon
1,DET,.545,0,L (-4),TOR,14,,1,2,20.4,3,5,1.000,0,2,12,2,12,,6,5,11,-3,1,38-303,20,2001-11-20,43:00,15,Hakeem Olajuwon
1,MIL,.200,0,L (-3),TOR,2,,2,0,-1.2,0,0,,0,0,13,0,13,,1,0,5,-8,1,38-305,3,2001-11-22,16:00,3,Hakeem Olajuwon
1,BOS,.500,0,W (+2),TOR,4,@,4,0,3.7,2,1,,0,0,14,3,14,,2,4,4,-6,0,38-306,7,2001-11-23,24:00,3,Hakeem Olajuwon
1,PHI,.500,0,W (+19),TOR,8,,2,0,12.5,2,7,,0,0,15,3,15,,4,3,8,+7,1,38-308,7,2001-11-25,31:00,4,Hakeem Olajuwon
